Année;Canton;Sexe;Age;Effectif au 1er janvier;Effectif au 31 décembre
1981;Genève;Sexe - total;Age - total;349562;352461
1981;Genève;Sexe - total;0 an;0;3281
1981;Genève;Sexe - total;1 an;3431;3323
1981;Genève;Sexe - total;2 ans;3373;3362
1981;Genève;Sexe - total;3 ans;3273;3264
1981;Genève;Sexe - total;4 ans;3530;3538
1981;Genève;Sexe - total;5 ans;3371;3428
1981;Genève;Sexe - total;6 ans;3551;3558
1981;Genève;Sexe - total;7 ans;3863;3878
1981;Genève;Sexe - total;8 ans;3972;3982
1981;Genève;Sexe - total;9 ans;4198;4200
1981;Genève;Sexe - total;10 ans;4133;4174
1981;Genève;Sexe - total;11 ans;4125;4185
1981;Genève;Sexe - total;12 ans;4094;4139
1981;Genève;Sexe - total;13 ans;4348;4426
1981;Genève;Sexe - total;14 ans;4382;4504
1981;Genève;Sexe - total;15 ans;4720;4844
1981;Genève;Sexe - total;16 ans;4832;5015
1981;Genève;Sexe - total;17 ans;5131;5287
1981;Genève;Sexe - total;18 ans;5000;5209
1981;Genève;Sexe - total;19 ans;4689;5063
1981;Genève;Sexe - total;20 ans;4733;5097
1981;Genève;Sexe - total;21 ans;4953;5166
1981;Genève;Sexe - total;22 ans;5184;5378
1981;Genève;Sexe - total;23 ans;5040;5185
1981;Genève;Sexe - total;24 ans;5073;5156
1981;Genève;Sexe - total;25 ans;5038;5129
1981;Genève;Sexe - total;26 ans;4983;5057
1981;Genève;Sexe - total;27 ans;5025;5118
1981;Genève;Sexe - total;28 ans;4975;5008
1981;Genève;Sexe - total;29 ans;5090;5188
1981;Genève;Sexe - total;30 ans;5139;5212
1981;Genève;Sexe - total;31 ans;5687;5753
1981;Genève;Sexe - total;32 ans;5667;5668
1981;Genève;Sexe - total;33 ans;6142;6191
1981;Genève;Sexe - total;34 ans;6365;6388
1981;Genève;Sexe - total;35 ans;6483;6480
1981;Genève;Sexe - total;36 ans;6323;6345
1981;Genève;Sexe - total;37 ans;6535;6510
1981;Genève;Sexe - total;38 ans;6382;6379
1981;Genève;Sexe - total;39 ans;6282;6295
1981;Genève;Sexe - total;40 ans;5661;5663
1981;Genève;Sexe - total;41 ans;5626;5583
1981;Genève;Sexe - total;42 ans;5407;5376
1981;Genève;Sexe - total;43 ans;5363;5364
1981;Genève;Sexe - total;44 ans;5244;5223
1981;Genève;Sexe - total;45 ans;5243;5235
1981;Genève;Sexe - total;46 ans;5141;5131
1981;Genève;Sexe - total;47 ans;5076;5048
1981;Genève;Sexe - total;48 ans;5064;5041
1981;Genève;Sexe - total;49 ans;4950;4914
1981;Genève;Sexe - total;50 ans;4771;4755
1981;Genève;Sexe - total;51 ans;4842;4788
1981;Genève;Sexe - total;52 ans;4672;4640
1981;Genève;Sexe - total;53 ans;4461;4432
1981;Genève;Sexe - total;54 ans;4381;4337
1981;Genève;Sexe - total;55 ans;4161;4119
1981;Genève;Sexe - total;56 ans;4172;4133
1981;Genève;Sexe - total;57 ans;3945;3897
1981;Genève;Sexe - total;58 ans;3972;3916
1981;Genève;Sexe - total;59 ans;3846;3798
1981;Genève;Sexe - total;60 ans;3839;3798
1981;Genève;Sexe - total;61 ans;3666;3607
1981;Genève;Sexe - total;62 ans;2886;2842
1981;Genève;Sexe - total;63 ans;2504;2455
1981;Genève;Sexe - total;64 ans;2653;2587
1981;Genève;Sexe - total;65 ans;2519;2457
1981;Genève;Sexe - total;66 ans;2561;2501
1981;Genève;Sexe - total;67 ans;2791;2723
1981;Genève;Sexe - total;68 ans;2752;2680
1981;Genève;Sexe - total;69 ans;2730;2674
1981;Genève;Sexe - total;70 ans;2708;2647
1981;Genève;Sexe - total;71 ans;2668;2601
1981;Genève;Sexe - total;72 ans;2755;2677
1981;Genève;Sexe - total;73 ans;2641;2562
1981;Genève;Sexe - total;74 ans;2389;2311
1981;Genève;Sexe - total;75 ans;2372;2278
1981;Genève;Sexe - total;76 ans;2321;2215
1981;Genève;Sexe - total;77 ans;2116;2024
1981;Genève;Sexe - total;78 ans;1952;1860
1981;Genève;Sexe - total;79 ans;1850;1739
1981;Genève;Sexe - total;80 ans;1644;1561
1981;Genève;Sexe - total;81 ans;1504;1398
1981;Genève;Sexe - total;82 ans;1400;1277
1981;Genève;Sexe - total;83 ans;1143;1051
1981;Genève;Sexe - total;84 ans;1124;1012
1981;Genève;Sexe - total;85 ans;963;830
1981;Genève;Sexe - total;86 ans;810;717
1981;Genève;Sexe - total;87 ans;703;610
1981;Genève;Sexe - total;88 ans;569;491
1981;Genève;Sexe - total;89 ans;500;427
1981;Genève;Sexe - total;90 ans;379;311
1981;Genève;Sexe - total;91 ans;268;221
1981;Genève;Sexe - total;92 ans;224;183
