age;gender;year;pop
0;1;1981;847
1;1;1981;1728
2;1;1981;1732.5
3;1;1981;1688
4;1;1981;1796
5;1;1981;1691.5
6;1;1981;1729.5
7;1;1981;1991
8;1;1981;2067
9;1;1981;2127.5
10;1;1981;2142.5
11;1;1981;2105.5
12;1;1981;2107.5
13;1;1981;2247
14;1;1981;2283.5
15;1;1981;2410.5
16;1;1981;2526
17;1;1981;2479
18;1;1981;2509
19;1;1981;2379.5
20;1;1981;2365.5
21;1;1981;2364.5
22;1;1981;2522.5
23;1;1981;2406
24;1;1981;2437
25;1;1981;2453.5
26;1;1981;2407.5
27;1;1981;2376
28;1;1981;2330
29;1;1981;2352.5
30;1;1981;2429.5
31;1;1981;2673.5
32;1;1981;2678
33;1;1981;2914.5
34;1;1981;2996
35;1;1981;3133
36;1;1981;3140.5
37;1;1981;3099.5
38;1;1981;3141
39;1;1981;3053
40;1;1981;2718.5
41;1;1981;2784.5
42;1;1981;2703.5
43;1;1981;2701
44;1;1981;2632
45;1;1981;2681
46;1;1981;2608
47;1;1981;2568
48;1;1981;2484
49;1;1981;2496
50;1;1981;2360.5
51;1;1981;2357.5
52;1;1981;2298
53;1;1981;2186.5
54;1;1981;2053.5
55;1;1981;2020.5
56;1;1981;1960
57;1;1981;1813
58;1;1981;1946.5
59;1;1981;1799
60;1;1981;1798.5
61;1;1981;1703
62;1;1981;1268
63;1;1981;1114.5
64;1;1981;1211.5
65;1;1981;1122
66;1;1981;1086
67;1;1981;1164
68;1;1981;1139.5
69;1;1981;1105
70;1;1981;1034
71;1;1981;1032
72;1;1981;1096.5
73;1;1981;992.5
74;1;1981;905.5
75;1;1981;878
76;1;1981;829
77;1;1981;750
78;1;1981;654.5
79;1;1981;553.5
80;1;1981;539.5
81;1;1981;504.5
82;1;1981;396
83;1;1981;320
84;1;1981;300
85;1;1981;263
86;1;1981;216
87;1;1981;162.5
88;1;1981;137
89;1;1981;134.5
90;1;1981;94
91;1;1981;62.5
92;1;1981;46
93;1;1981;32
94;1;1981;20.5
95;1;1981;18.5
96;1;1981;12.5
97;1;1981;1.5
98;1;1981;4.5
99;1;1981;9.5
0;2;1981;793.5
1;2;1981;1649
2;2;1981;1635
3;2;1981;1580.5
4;2;1981;1738
5;2;1981;1708
6;2;1981;1825
7;2;1981;1879.5
8;2;1981;1910
9;2;1981;2071.5
10;2;1981;2011
11;2;1981;2049.5
12;2;1981;2009
13;2;1981;2140
14;2;1981;2159.5
15;2;1981;2371.5
16;2;1981;2397.5
17;2;1981;2730
18;2;1981;2595.5
19;2;1981;2496.5
20;2;1981;2549.5
21;2;1981;2695
22;2;1981;2758.5
23;2;1981;2706.5
24;2;1981;2677.5
25;2;1981;2630
26;2;1981;2612.5
27;2;1981;2695.5
28;2;1981;2661.5
29;2;1981;2786.5
30;2;1981;2746
31;2;1981;3046.5
32;2;1981;2989.5
33;2;1981;3252
34;2;1981;3380.5
35;2;1981;3348.5
36;2;1981;3193.5
37;2;1981;3423
38;2;1981;3239.5
39;2;1981;3235.5
40;2;1981;2943.5
41;2;1981;2820
42;2;1981;2688
43;2;1981;2662.5
44;2;1981;2601.5
45;2;1981;2558
46;2;1981;2528
47;2;1981;2494
48;2;1981;2568.5
49;2;1981;2436
50;2;1981;2402.5
51;2;1981;2457.5
52;2;1981;2358
53;2;1981;2260
54;2;1981;2305.5
55;2;1981;2119.5
56;2;1981;2192.5
57;2;1981;2108
58;2;1981;1997.5
59;2;1981;2023
60;2;1981;2020
61;2;1981;1933.5
62;2;1981;1596
63;2;1981;1365
64;2;1981;1408.5
65;2;1981;1366
66;2;1981;1445
67;2;1981;1593
68;2;1981;1576.5
69;2;1981;1597
70;2;1981;1643.5
71;2;1981;1602.5
72;2;1981;1619.5
73;2;1981;1609
74;2;1981;1444.5
75;2;1981;1447
76;2;1981;1439
77;2;1981;1320
78;2;1981;1251.5
79;2;1981;1241
80;2;1981;1063
81;2;1981;946.5
82;2;1981;942.5
83;2;1981;777
84;2;1981;768
85;2;1981;633.5
86;2;1981;547.5
87;2;1981;494
88;2;1981;393
89;2;1981;329
90;2;1981;251
91;2;1981;182
92;2;1981;157.5
93;2;1981;113.5
94;2;1981;84
95;2;1981;62
96;2;1981;34.5
97;2;1981;21
98;2;1981;21.5
99;2;1981;26
0;1;1982;836
1;1;1982;1707.5
2;1;1982;1710.5
3;1;1982;1754.5
4;1;1982;1708
5;1;1982;1832.5
6;1;1982;1727
7;1;1982;1749.5
8;1;1982;2006
9;1;1982;2081.5
10;1;1982;2136
11;1;1982;2168
12;1;1982;2132
13;1;1982;2134.5
14;1;1982;2276.5
15;1;1982;2336
16;1;1982;2459
17;1;1982;2576.5
18;1;1982;2551.5
19;1;1982;2567.5
20;1;1982;2444.5
21;1;1982;2455
22;1;1982;2467.5
23;1;1982;2582
24;1;1982;2468
25;1;1982;2479.5
26;1;1982;2522.5
27;1;1982;2489.5
28;1;1982;2433.5
29;1;1982;2398
30;1;1982;2435
31;1;1982;2501
32;1;1982;2711
33;1;1982;2708.5
34;1;1982;2954.5
35;1;1982;3012
36;1;1982;3140.5
37;1;1982;3152.5
38;1;1982;3109.5
39;1;1982;3145.5
40;1;1982;3054
41;1;1982;2716.5
42;1;1982;2778
43;1;1982;2703
44;1;1982;2705
45;1;1982;2619.5
46;1;1982;2667.5
47;1;1982;2599
48;1;1982;2553.5
49;1;1982;2482.5
50;1;1982;2483
51;1;1982;2339.5
52;1;1982;2343.5
53;1;1982;2280.5
54;1;1982;2161.5
55;1;1982;2019.5
56;1;1982;1991
57;1;1982;1941
58;1;1982;1781.5
59;1;1982;1911.5
60;1;1982;1779.5
61;1;1982;1764.5
62;1;1982;1649.5
63;1;1982;1246
64;1;1982;1089.5
65;1;1982;1175
66;1;1982;1075
67;1;1982;1051.5
68;1;1982;1126
69;1;1982;1103.5
70;1;1982;1062.5
71;1;1982;1000.5
72;1;1982;986
73;1;1982;1040.5
74;1;1982;949
75;1;1982;855.5
76;1;1982;821.5
77;1;1982;782.5
78;1;1982;696.5
79;1;1982;611
80;1;1982;503
81;1;1982;496
82;1;1982;456
83;1;1982;351
84;1;1982;278.5
85;1;1982;259.5
86;1;1982;215
87;1;1982;184
88;1;1982;129
89;1;1982;112.5
90;1;1982;109.5
91;1;1982;79
92;1;1982;47
93;1;1982;36
94;1;1982;25.5
95;1;1982;13.5
96;1;1982;14
97;1;1982;8.5
98;1;1982;0
99;1;1982;8.5
0;2;1982;832
1;2;1982;1584
2;2;1982;1617
3;2;1982;1634
4;2;1982;1593
5;2;1982;1760
6;2;1982;1721.5
7;2;1982;1829
8;2;1982;1892
9;2;1982;1917
10;2;1982;2069
11;2;1982;2030.5
12;2;1982;2065.5
13;2;1982;2031.5
14;2;1982;2175.5
15;2;1982;2208
16;2;1982;2524
17;2;1982;2395
18;2;1982;2744
19;2;1982;2714.5
20;2;1982;2685.5
21;2;1982;2693.5
22;2;1982;2802
23;2;1982;2828.5
24;2;1982;2784
25;2;1982;2732
26;2;1982;2669
27;2;1982;2650
28;2;1982;2726.5
29;2;1982;2702.5
30;2;1982;2809.5
31;2;1982;2766
32;2;1982;3065
33;2;1982;2997.5
34;2;1982;3266
35;2;1982;3393.5
36;2;1982;3351.5
37;2;1982;3210.5
38;2;1982;3421
39;2;1982;3244
40;2;1982;3236.5
41;2;1982;2956.5
42;2;1982;2828.5
43;2;1982;2676.5
44;2;1982;2667.5
45;2;1982;2603.5
46;2;1982;2561.5
47;2;1982;2528.5
48;2;1982;2495
49;2;1982;2551
50;2;1982;2428
51;2;1982;2402.5
52;2;1982;2436
53;2;1982;2347.5
54;2;1982;2256
55;2;1982;2290.5
56;2;1982;2103.5
57;2;1982;2184
58;2;1982;2084
59;2;1982;1983
60;2;1982;2012.5
61;2;1982;2003.5
62;2;1982;1917
63;2;1982;1579.5
64;2;1982;1344
65;2;1982;1389.5
66;2;1982;1356.5
67;2;1982;1424.5
68;2;1982;1576
69;2;1982;1558.5
70;2;1982;1572.5
71;2;1982;1619
72;2;1982;1583
73;2;1982;1591
74;2;1982;1577.5
75;2;1982;1409
76;2;1982;1406.5
77;2;1982;1390
78;2;1982;1279
79;2;1982;1195.5
80;2;1982;1188
81;2;1982;1018
82;2;1982;893.5
83;2;1982;872.5
84;2;1982;712.5
85;2;1982;705
86;2;1982;562.5
87;2;1982;487
88;2;1982;432.5
89;2;1982;335.5
90;2;1982;280
91;2;1982;206.5
92;2;1982;148
93;2;1982;121.5
94;2;1982;81.5
95;2;1982;61
96;2;1982;43
97;2;1982;20
98;2;1982;13
99;2;1982;29.5
0;1;1983;868.5
1;1;1983;1678
2;1;1983;1716
3;1;1983;1722.5
4;1;1983;1784
5;1;1983;1747.5
6;1;1983;1867
7;1;1983;1757.5
8;1;1983;1773
9;1;1983;2018.5
10;1;1983;2096.5
11;1;1983;2154
12;1;1983;2203.5
13;1;1983;2152
14;1;1983;2151.5
15;1;1983;2292
16;1;1983;2371
17;1;1983;2503
18;1;1983;2609.5
19;1;1983;2604
