sex;year;age;cant;pop
1;1980;0;10;1172
1;1980;0;25;1723
1;1980;1;10;1162
1;1980;1;25;1714
1;1980;2;10;1136
1;1980;2;25;1716
1;1980;3;10;1152
1;1980;3;25;1736
1;1980;4;10;1185
1;1980;4;25;1736
1;1980;5;10;1220
1;1980;5;25;1719
1;1980;6;10;1308
1;1980;6;25;1861
1;1980;7;10;1378
1;1980;7;25;2029
1;1980;8;10;1421
1;1980;8;25;2097
1;1980;9;10;1470
1;1980;9;25;2134
1;1980;10;10;1525
1;1980;10;25;2119
1;1980;11;10;1574
1;1980;11;25;2111
1;1980;12;10;1563
1;1980;12;25;2176
1;1980;13;10;1589
1;1980;13;25;2255
1;1980;14;10;1639
1;1980;14;25;2350
1;1980;15;10;1735
1;1980;15;25;2467
1;1980;16;10;1802
1;1980;16;25;2501
1;1980;17;10;1756
1;1980;17;25;2492
1;1980;18;10;1658
1;1980;18;25;2436
1;1980;19;10;1624
1;1980;19;25;2367
1;1980;20;10;1609
1;1980;20;25;2369
1;1980;21;10;1525
1;1980;21;25;2451
1;1980;22;10;1526
1;1980;22;25;2474
1;1980;23;10;1585
1;1980;23;25;2424
1;1980;24;10;1519
1;1980;24;25;2435
1;1980;25;10;1452
1;1980;25;25;2430
1;1980;26;10;1365
1;1980;26;25;2391
1;1980;27;10;1367
1;1980;27;25;2361
1;1980;28;10;1404
1;1980;28;25;2333
1;1980;29;10;1441
1;1980;29;25;2394
1;1980;30;10;1492
1;1980;30;25;2554
1;1980;31;10;1479
1;1980;31;25;2685
1;1980;32;10;1517
1;1980;32;25;2788
1;1980;33;10;1545
1;1980;33;25;2962
1;1980;34;10;1522
1;1980;34;25;3068
1;1980;35;10;1518
1;1980;35;25;3135
1;1980;36;10;1460
1;1980;36;25;3126
1;1980;37;10;1439
1;1980;37;25;3117
1;1980;38;10;1399
1;1980;38;25;3095
1;1980;39;10;1312
1;1980;39;25;2889
1;1980;40;10;1180
1;1980;40;25;2757
1;1980;41;10;1084
1;1980;41;25;2740
1;1980;42;10;1094
1;1980;42;25;2699
1;1980;43;10;1105
1;1980;43;25;2672
1;1980;44;10;1075
1;1980;44;25;2657
1;1980;45;10;1036
1;1980;45;25;2641
1;1980;46;10;997
1;1980;46;25;2593
1;1980;47;10;1011
1;1980;47;25;2520
1;1980;48;10;995
1;1980;48;25;2495
1;1980;49;10;954
1;1980;49;25;2426
1;1980;50;10;965
1;1980;50;25;2361
1;1980;51;10;955
1;1980;51;25;2328
1;1980;52;10;914
1;1980;52;25;2243
1;1980;53;10;938
1;1980;53;25;2121
1;1980;54;10;964
1;1980;54;25;2037
1;1980;55;10;941
1;1980;55;25;1989
1;1980;56;10;946
1;1980;56;25;1889
1;1980;57;10;922
1;1980;57;25;1881
1;1980;58;10;917
1;1980;58;25;1872
1;1980;59;10;953
1;1980;59;25;1797
1;1980;60;10;907
1;1980;60;25;1755
1;1980;61;10;841
1;1980;61;25;1480
1;1980;62;10;810
1;1980;62;25;1192
1;1980;63;10;757
1;1980;63;25;1167
1;1980;64;10;735
1;1980;64;25;1168
1;1980;65;10;739
1;1980;65;25;1102
1;1980;66;10;738
1;1980;66;25;1126
1;1980;67;10;743
1;1980;67;25;1151
1;1980;68;10;765
1;1980;68;25;1120
1;1980;69;10;726
1;1980;69;25;1070
1;1980;70;10;651
1;1980;70;25;1034
1;1980;71;10;637
1;1980;71;25;1067
1;1980;72;10;641
1;1980;72;25;1043
1;1980;73;10;607
1;1980;73;25;948
1;1980;74;10;538
1;1980;74;25;895
1;1980;75;10;490
1;1980;75;25;854
1;1980;76;10;456
1;1980;76;25;789
1;1980;77;10;401
1;1980;77;25;698
1;1980;78;10;378
1;1980;78;25;608
1;1980;79;10;348
1;1980;79;25;543
1;1980;80;10;281
1;1980;80;25;523
1;1980;81;10;236
1;1980;81;25;452
1;1980;82;10;204
1;1980;82;25;354
1;1980;83;10;166
1;1980;83;25;310
1;1980;84;10;160
1;1980;84;25;284
1;1980;85;10;123
1;1980;85;25;234
1;1980;86;10;92
1;1980;86;25;189
1;1980;87;10;71
1;1980;87;25;149
1;1980;88;10;52
1;1980;88;25;136
1;1980;89;10;40
1;1980;89;25;111
1;1980;90;10;34
1;1980;90;25;79
1;1980;91;10;28
1;1980;91;25;51
1;1980;92;10;23
1;1980;92;25;40
1;1980;93;10;13
1;1980;93;25;27
1;1980;94;10;7
1;1980;94;25;18
1;1980;95;10;3
1;1980;95;25;16
1;1980;96;10;2
1;1980;96;25;7
1;1980;97;10;1
1;1980;97;25;3
1;1980;98;10;1
1;1980;98;25;4
1;1980;99;10;2
1;1980;99;25;9
1;1980;999;10;92938
1;1980;999;25;165744
1;1981;0;10;1172
1;1981;0;25;1723
1;1981;1;10;1162
1;1981;1;25;1714
1;1981;2;10;1136
1;1981;2;25;1716
1;1981;3;10;1152
1;1981;3;25;1736
1;1981;4;10;1185
1;1981;4;25;1736
1;1981;5;10;1220
1;1981;5;25;1719
1;1981;6;10;1308
1;1981;6;25;1861
1;1981;7;10;1378
1;1981;7;25;2029
1;1981;8;10;1421
1;1981;8;25;2097
1;1981;9;10;1470
1;1981;9;25;2134
1;1981;10;10;1525
1;1981;10;25;2119
1;1981;11;10;1574
1;1981;11;25;2111
1;1981;12;10;1563
1;1981;12;25;2176
1;1981;13;10;1589
1;1981;13;25;2255
1;1981;14;10;1639
1;1981;14;25;2350
1;1981;15;10;1735
1;1981;15;25;2467
1;1981;16;10;1802
1;1981;16;25;2501
1;1981;17;10;1756
1;1981;17;25;2492
1;1981;18;10;1658
1;1981;18;25;2436
1;1981;19;10;1624
1;1981;19;25;2367
1;1981;20;10;1609
1;1981;20;25;2369
1;1981;21;10;1525
1;1981;21;25;2451
1;1981;22;10;1526
1;1981;22;25;2474
1;1981;23;10;1585
1;1981;23;25;2424
1;1981;24;10;1519
1;1981;24;25;2435
1;1981;25;10;1452
1;1981;25;25;2430
1;1981;26;10;1365
1;1981;26;25;2391
1;1981;27;10;1367
1;1981;27;25;2361
1;1981;28;10;1404
1;1981;28;25;2333
1;1981;29;10;1441
1;1981;29;25;2394
1;1981;30;10;1492
1;1981;30;25;2554
1;1981;31;10;1479
1;1981;31;25;2685
1;1981;32;10;1517
1;1981;32;25;2788
1;1981;33;10;1545
1;1981;33;25;2962
1;1981;34;10;1522
1;1981;34;25;3068
1;1981;35;10;1518
1;1981;35;25;3135
1;1981;36;10;1460
1;1981;36;25;3126
1;1981;37;10;1439
1;1981;37;25;3117
1;1981;38;10;1399
1;1981;38;25;3095
1;1981;39;10;1312
1;1981;39;25;2889
1;1981;40;10;1180
1;1981;40;25;2757
1;1981;41;10;1084
1;1981;41;25;2740
1;1981;42;10;1094
1;1981;42;25;2699
1;1981;43;10;1105
1;1981;43;25;2672
1;1981;44;10;1075
1;1981;44;25;2657
1;1981;45;10;1036
1;1981;45;25;2641
1;1981;46;10;997
1;1981;46;25;2593
1;1981;47;10;1011
1;1981;47;25;2520
1;1981;48;10;995
1;1981;48;25;2495
1;1981;49;10;954
1;1981;49;25;2426
1;1981;50;10;965
1;1981;50;25;2361
1;1981;51;10;955
1;1981;51;25;2328
1;1981;52;10;914
1;1981;52;25;2243
1;1981;53;10;938
1;1981;53;25;2121
1;1981;54;10;964
1;1981;54;25;2037
1;1981;55;10;941
1;1981;55;25;1989
1;1981;56;10;946
1;1981;56;25;1889
1;1981;57;10;922
1;1981;57;25;1881
1;1981;58;10;917
1;1981;58;25;1872
1;1981;59;10;953
1;1981;59;25;1797
1;1981;60;10;907
1;1981;60;25;1755
1;1981;61;10;841
1;1981;61;25;1480
1;1981;62;10;810
1;1981;62;25;1192
1;1981;63;10;757
1;1981;63;25;1167
1;1981;64;10;735
1;1981;64;25;1168
1;1981;65;10;739
1;1981;65;25;1102
1;1981;66;10;738
1;1981;66;25;1126
1;1981;67;10;743
1;1981;67;25;1151
1;1981;68;10;765
1;1981;68;25;1120
1;1981;69;10;726
1;1981;69;25;1070
1;1981;70;10;651
1;1981;70;25;1034
1;1981;71;10;637
1;1981;71;25;1067
1;1981;72;10;641
1;1981;72;25;1043
1;1981;73;10;607
1;1981;73;25;948
1;1981;74;10;538
1;1981;74;25;895
1;1981;75;10;490
1;1981;75;25;854
1;1981;76;10;456
1;1981;76;25;789
1;1981;77;10;401
1;1981;77;25;698
1;1981;78;10;378
1;1981;78;25;608
1;1981;79;10;348
1;1981;79;25;543
1;1981;80;10;281
1;1981;80;25;523
1;1981;81;10;236
1;1981;81;25;452
1;1981;82;10;204
1;1981;82;25;354
1;1981;83;10;166
1;1981;83;25;310
1;1981;84;10;160
1;1981;84;25;284
1;1981;85;10;123
1;1981;85;25;234
1;1981;86;10;92
1;1981;86;25;189
1;1981;87;10;71
1;1981;87;25;149
1;1981;88;10;52
1;1981;88;25;136
1;1981;89;10;40
1;1981;89;25;111
1;1981;90;10;34
1;1981;90;25;79
1;1981;91;10;28
1;1981;91;25;51
1;1981;92;10;23
1;1981;92;25;40
1;1981;93;10;13
1;1981;93;25;27
1;1981;94;10;7
1;1981;94;25;18
1;1981;95;10;3
1;1981;95;25;16
1;1981;96;10;2
1;1981;96;25;7
1;1981;97;10;1
1;1981;97;25;3
1;1981;98;10;1
1;1981;98;25;4
1;1981;99;10;2
1;1981;99;25;9
1;1981;999;10;92938
1;1981;999;25;165744
1;1982;0;10;1146
1;1982;0;25;1683
1;1982;1;10;1176
1;1982;1;25;1712
1;1982;2;10;1170
1;1982;2;25;1728
1;1982;3;10;1151
1;1982;3;25;1726
1;1982;4;10;1163
1;1982;4;25;1768
1;1982;5;10;1206
1;1982;5;25;1788
1;1982;6;10;1235
1;1982;6;25;1738
1;1982;7;10;1313
1;1982;7;25;1880
1;1982;8;10;1382
1;1982;8;25;2044
1;1982;9;10;1429
1;1982;9;25;2111
1;1982;10;10;1479
1;1982;10;25;2145
1;1982;11;10;1536
1;1982;11;25;2154
1;1982;12;10;1586
1;1982;12;25;2130
1;1982;13;10;1580
1;1982;13;25;2205
1;1982;14;10;1597
1;1982;14;25;2305
1;1982;15;10;1658
1;1982;15;25;2397
1;1982;16;10;1747
1;1982;16;25;2518
1;1982;17;10;1815
1;1982;17;25;2556
1;1982;18;10;1766
1;1982;18;25;2569
1;1982;19;10;1673
1;1982;19;25;2510
1;1982;20;10;1641
1;1982;20;25;2442
1;1982;21;10;1605
1;1982;21;25;2451
1;1982;22;10;1510
1;1982;22;25;2538
1;1982;23;10;1517
1;1982;23;25;2512
1;1982;24;10;1572
1;1982;24;25;2480
1;1982;25;10;1516
1;1982;25;25;2497
1;1982;26;10;1444
1;1982;26;25;2499
1;1982;27;10;1377
1;1982;27;25;2474
1;1982;28;10;1365
1;1982;28;25;2403
1;1982;29;10;1412
1;1982;29;25;2418
1;1982;30;10;1453
1;1982;30;25;2470
1;1982;31;10;1492
1;1982;31;25;2621
1;1982;32;10;1493
1;1982;32;25;2703
1;1982;33;10;1529
1;1982;33;25;2836
1;1982;34;10;1557
1;1982;34;25;2989
1;1982;35;10;1536
1;1982;35;25;3077
1;1982;36;10;1513
1;1982;36;25;3146
1;1982;37;10;1471
1;1982;37;25;3125
1;1982;38;10;1444
1;1982;38;25;3133
1;1982;39;10;1405
1;1982;39;25;3103
1;1982;40;10;1318
1;1982;40;25;2883
1;1982;41;10;1179
1;1982;41;25;2743
1;1982;42;10;1082
1;1982;42;25;2742
1;1982;43;10;1101
1;1982;43;25;2705
1;1982;44;10;1101
1;1982;44;25;2665
1;1982;45;10;1072
1;1982;45;25;2645
1;1982;46;10;1041
1;1982;46;25;2633
1;1982;47;10;996
1;1982;47;25;2575
1;1982;48;10;1015
1;1982;48;25;2518
1;1982;49;10;991
1;1982;49;25;2484
1;1982;50;10;951
1;1982;50;25;2417
1;1982;51;10;965
1;1982;51;25;2336
1;1982;52;10;952
1;1982;52;25;2314
1;1982;53;10;908
1;1982;53;25;2225
1;1982;54;10;932
1;1982;54;25;2094
1;1982;55;10;959
1;1982;55;25;2004
1;1982;56;10;929
1;1982;56;25;1961
1;1982;57;10;934
1;1982;57;25;1865
1;1982;58;10;911
1;1982;58;25;1847
1;1982;59;10;913
1;1982;59;25;1839
1;1982;60;10;943
1;1982;60;25;1781
1;1982;61;10;901
1;1982;61;25;1712
1;1982;62;10;835
1;1982;62;25;1437
1;1982;63;10;799
1;1982;63;25;1168
1;1982;64;10;744
1;1982;64;25;1133
1;1982;65;10;721
1;1982;65;25;1129
1;1982;66;10;723
1;1982;66;25;1059
1;1982;67;10;725
1;1982;67;25;1089
1;1982;68;10;727
1;1982;68;25;1115
1;1982;69;10;742
1;1982;69;25;1088
1;1982;70;10;706
1;1982;70;25;1026
1;1982;71;10;618
1;1982;71;25;999
1;1982;72;10;614
1;1982;72;25;1016
1;1982;73;10;607
1;1982;73;25;990
1;1982;74;10;581
1;1982;74;25;907
1;1982;75;10;516
1;1982;75;25;839
1;1982;76;10;468
1;1982;76;25;797
1;1982;77;10;426
1;1982;77;25;743
1;1982;78;10;377
1;1982;78;25;653
1;1982;79;10;346
1;1982;79;25;557
1;1982;80;10;318
