INCIDENCE_CITY_ID,NPA,GNR,EXP,DATE_FROM,DATE_TO,TEXT_FR,text_en
12000,1200,6621,6621,1988-12-21T23:00:00Z,NA,Genève,Genève
12001,1200,6699,6699,2001-03-19T23:00:00Z,2018-06-18T22:00:00Z,Canton de Genève - Commune inconnue,Canton de Genève - Commune inconnue
12010,1201,6621,6621,1986-05-20T22:00:00Z,NA,Genève,Genève
12020,1202,6621,6621,1986-05-20T22:00:00Z,NA,Genève,Genève
12030,1203,6621,6621,1986-05-20T22:00:00Z,NA,Genève,Genève
12040,1204,6621,6621,1987-09-30T23:00:00Z,NA,Genève,Genève
12050,1205,6621,6621,1986-05-20T22:00:00Z,NA,Genève,Genève
12060,1206,6621,6621,1986-05-20T22:00:00Z,NA,Genève,Genève
12070,1207,6621,6621,1998-11-22T23:00:00Z,NA,Genève,Genève
12080,1208,6621,6621,1998-11-22T23:00:00Z,NA,Genève,Genève
12090,1209,6621,6621,1986-05-20T22:00:00Z,NA,Genève,Genève
12111,1211,6621,6621,1999-09-22T22:00:00Z,NA,Genève 1,Genève 1
12112,1211,6621,6621,1986-05-20T22:00:00Z,NA,Genève 2,Genève 2
12113,1211,6621,6621,1999-09-22T22:00:00Z,NA,Genève 3,Genève 3
12114,1211,6621,6621,1994-07-25T22:00:00Z,NA,Genève 4,Genève 4
12115,1211,6623,6623,1998-03-01T23:00:00Z,NA,Genève 5,Genève 5
12116,1211,6621,6621,1999-09-22T22:00:00Z,NA,Genève 6,Genève 6
12117,1211,6621,6621,1986-05-20T22:00:00Z,2017-02-16T23:00:00Z,Genève 7,Genève 7
12118,1211,6621,6621,1986-05-20T22:00:00Z,NA,Genève 8,Genève 8
12120,1212,6628,6628,1988-09-30T23:00:00Z,NA,Grand-Lancy,Grand-Lancy
12121,1212,6628,6628,1996-06-09T22:00:00Z,NA,Grand-Lancy 1,Grand-Lancy 1
12122,1212,6628,6628,2001-03-19T23:00:00Z,2018-06-18T22:00:00Z,Lancy,Lancy
12129,0,6628,6628,2001-03-20T14:00:00Z,NA,Lancy,Lancy
12130,1213,6628,6628,1988-12-21T23:00:00Z,NA,Petit-Lancy,Petit-Lancy
12131,1213,6628,6628,1996-06-09T22:00:00Z,NA,Petit-Lancy 1,Petit-Lancy 1
12132,1213,6628,6628,NA,2013-03-17T23:00:00Z,Petit-Lancy 2,Petit-Lancy 2
12133,1213,6631,6631,1996-06-09T22:00:00Z,NA,Onex,Onex
12140,1214,6643,6643,1988-12-21T23:00:00Z,NA,Vernier,Vernier
12150,1215,6630,6630,1996-03-20T23:00:00Z,NA,Genève 15 Aéroport,Genève 15 Aéroport
12160,1216,6630,6630,1996-06-09T22:00:00Z,NA,Cointrin,Cointrin
12170,1217,6630,6630,1986-05-20T22:00:00Z,NA,Meyrin,Meyrin
12171,1217,6630,6630,1996-06-09T22:00:00Z,NA,Meyrin 1,Meyrin 1
12172,1217,6630,6630,1996-06-09T22:00:00Z,2016-02-22T23:00:00Z,Meyrin 2,Meyrin 2
12180,1218,6623,6623,1996-06-09T22:00:00Z,NA,Le Grand-Saconnex,Le Grand-Saconnex
12190,1219,6643,6643,1996-06-09T22:00:00Z,NA,Le Lignon,Le Lignon
12200,1220,6643,6643,1988-08-31T22:00:00Z,NA,Les Avanchets,Les Avanchets
12220,1222,6616,6616,1988-08-31T22:00:00Z,NA,Vésenaz,Vésenaz
12230,1223,6617,6617,1986-05-20T22:00:00Z,NA,Cologny,Cologny
12240,1224,6612,6612,1996-06-09T22:00:00Z,NA,Chêne-Bougeries,Chêne-Bougeries
12250,1225,6613,6613,1996-06-09T22:00:00Z,NA,Chêne-Bourg,Chêne-Bourg
12260,1226,6640,6640,1996-06-09T22:00:00Z,NA,Thônex,Thônex
12270,1227,6608,6608,1993-06-09T22:00:00Z,NA,Carouge GE,Carouge GE
12274,1227,6608,6608,1988-08-31T22:00:00Z,NA,Les Acacias,Les Acacias
