INCIDENCE_CITY_ID,NPA,GNR,EXP,TEXT_FR
12000,1200,6621,6621,Genève
12001,1200,6699,6699,Canton de Genève - Commune inconnue
12010,1201,6621,6621,Genève
12020,1202,6621,6621,Genève
12030,1203,6621,6621,Genève
12040,1204,6621,6621,Genève
12050,1205,6621,6621,Genève
12060,1206,6621,6621,Genève
12070,1207,6621,6621,Genève
12080,1208,6621,6621,Genève
12090,1209,6621,6621,Genève
12111,1211,6621,6621,Genève 1
12112,1211,6621,6621,Genève 2
12113,1211,6621,6621,Genève 3
12114,1211,6621,6621,Genève 4
12115,1211,6623,6623,Genève 5
12116,1211,6621,6621,Genève 6
12117,1211,6621,6621,Genève 7
12118,1211,6621,6621,Genève 8
12120,1212,6628,6628,Grand-Lancy
12121,1212,6628,6628,Grand-Lancy 1
12122,1212,6628,6628,Lancy
12129,0,6628,6628,Lancy
12130,1213,6628,6628,Petit-Lancy
12131,1213,6628,6628,Petit-Lancy 1
12132,1213,6628,6628,Petit-Lancy 2
12133,1213,6631,6631,Onex
12140,1214,6643,6643,Vernier
12150,1215,6630,6630,Genève 15 Aéroport
12160,1216,6630,6630,Cointrin
12170,1217,6630,6630,Meyrin
12171,1217,6630,6630,Meyrin 1
12172,1217,6630,6630,Meyrin 2
12180,1218,6623,6623,Le Grand-Saconnex
12190,1219,6643,6643,Le Lignon
12200,1220,6643,6643,Les Avanchets
12220,1222,6616,6616,Vésenaz
12230,1223,6617,6617,Cologny
12240,1224,6612,6612,Chêne-Bougeries
12250,1225,6613,6613,Chêne-Bourg
12260,1226,6640,6640,Thônex
12270,1227,6608,6608,Carouge GE
12274,1227,6608,6608,Les Acacias
12280,1228,6633,6633,Plan-les-Ouates
12310,1231,6612,6612,Conches
12320,1232,6618,6618,Confignon
12330,1233,6607,6607,Bernex
12340,1234,6645,6645,Vessy
12360,1236,6609,6609,Cartigny
12370,1237,6603,6603,Avully
12390,1239,6615,6615,Collex
12400,1240,6621,6621,Genève
12410,1241,6636,6636,Puplinge
12420,1242,6638,6638,Satigny
12430,1243,6635,6635,Presinge
12440,1244,6614,6614,Choulex
12450,1245,6616,6616,Collonge-Bellerive
12460,1246,6619,6619,Corsier GE
12470,1247,6602,6602,Anières
12480,1248,6625,6625,Hermance
12510,1251,6624,6624,Gy
12520,1252,6629,6629,Meinier
12530,1253,6642,6642,Vandoeuvres
12540,1254,6626,6626,Jussy
12550,1255,6645,6645,Veyrier
12560,1256,6641,6641,Troinex
12570,1257,6605,6605,La Croix-de-Rozon
12580,1258,6632,6632,Perly
12810,1281,6637,6637,Russin
12830,1283,6620,6620,La Plaine
12831,1283,6620,6620,Dardagny
12840,1284,6611,6611,Chancy
12850,1285,6604,6604,Athenaz (Avusy)
12860,1286,6639,6639,Soral
