gender,period,cat_age_map,gnr,nbcas,geo_unit_name,pop
1,1992,65+,6624,0,Gy,42
1,1989,65+,6624,0,Gy,44
1,1995,65+,6624,0,Gy,45
1,1989,65+,6637,1,Russin,47
1,1992,65+,6627,2,Laconnex,47
1,1998,65+,6624,1,Gy,47
1,1989,65+,6627,0,Laconnex,49
1,2001,65+,6624,2,Gy,49
2,1989,65+,6624,0,Gy,49
1,1995,65+,6627,3,Laconnex,54
2,1992,65+,6624,2,Gy,55
1,1992,65+,6637,1,Russin,57
1,1989,65+,6601,1,Aire-la-Ville,58
1,2004,65+,6624,2,Gy,60
1,1995,65+,6637,1,Russin,62
2,1995,65+,6624,1,Gy,62
1,2007,65+,6624,2,Gy,64
2,1998,65+,6624,1,Gy,65
2,1989,65+,6637,1,Russin,68
2,1998,65+,6637,1,Russin,69
1,1989,65+,6611,1,Chancy,70
1,2010,65+,6624,2,Gy,71
1,1989,65+,6604,1,Avusy,72
2,1989,65+,6601,0,Aire-la-Ville,72
2,1992,65+,6627,0,Laconnex,72
2,1995,65+,6637,2,Russin,72
1,1998,65+,6637,3,Russin,73
2,2001,65+,6624,0,Gy,73
1,1989,65+,6639,0,Soral,74
2,1992,65+,6637,1,Russin,74
1,2013,65+,6624,2,Gy,75
1,1992,65+,6611,1,Chancy,76
1,2001,65+,6611,1,Chancy,76
2,1989,65+,6627,0,Laconnex,76
2,1992,65+,6601,2,Aire-la-Ville,76
1,1992,65+,6601,2,Aire-la-Ville,77
1,1998,65+,6627,1,Laconnex,77
1,1992,65+,6639,1,Soral,80
2,1995,65+,6627,3,Laconnex,80
1,1995,65+,6601,2,Aire-la-Ville,81
1,1998,65+,6611,1,Chancy,81
2,2001,65+,6637,0,Russin,81
1,1995,65+,6611,0,Chancy,82
1,1998,65+,6601,5,Aire-la-Ville,82
2,1989,65+,6604,0,Avusy,82
2,2007,65+,6624,2,Gy,82
2,1995,65+,6601,1,Aire-la-Ville,83
2,1998,65+,6627,0,Laconnex,83
1,2001,65+,6637,1,Russin,84
2,1992,65+,6604,2,Avusy,84
1,1992,65+,6604,3,Avusy,86
1,1995,65+,6639,2,Soral,86
1,2001,65+,6627,2,Laconnex,86
2,1989,65+,6611,1,Chancy,87
2,2004,65+,6624,2,Gy,87
2,1989,65+,6639,2,Soral,88
1,1989,65+,6609,3,Cartigny,89
1,2004,65+,6627,1,Laconnex,89
2,2007,65+,6637,3,Russin,89
2,1998,65+,6601,1,Aire-la-Ville,90
2,2001,65+,6611,2,Chancy,90
2,1998,65+,6611,3,Chancy,91
1,2004,65+,6637,3,Russin,92
1,2001,65+,6601,5,Aire-la-Ville,93
2,2004,65+,6637,4,Russin,93
2,1992,0-19,6637,0,Russin,95
1,1992,65+,6610,0,Céligny,96
2,1989,0-19,6624,0,Gy,96
1,1995,65+,6610,1,Céligny,97
1,1998,65+,6610,0,Céligny,97
2,2010,65+,6637,1,Russin,97
2,1995,65+,6604,0,Avusy,98
1,1998,65+,6635,1,Presinge,99
1,2004,65+,6611,4,Chancy,99
1,2016,65+,6624,2,Gy,99
2,1995,0-19,6637,0,Russin,99
2,1992,65+,6639,3,Soral,101
2,2001,65+,6627,3,Laconnex,101
2,2013,65+,6624,1,Gy,101
1,2007,65+,6637,0,Russin,102
2,2010,65+,6624,1,Gy,102
2,1992,65+,6611,0,Chancy,103
2,2001,65+,6601,2,Aire-la-Ville,103
1,1989,0-19,6624,0,Gy,104
2,2013,65+,6637,1,Russin,104
1,1989,65+,6610,3,Céligny,105
1,1995,65+,6604,3,Avusy,105
1,2001,65+,6639,2,Soral,107
1,2001,65+,6610,3,Céligny,108
1,1992,65+,6603,3,Avully,110
1,2004,65+,6601,1,Aire-la-Ville,110
1,1989,65+,6635,3,Presinge,111
1,1992,65+,6625,2,Hermance,111
1,1992,65+,6609,1,Cartigny,112
1,1995,65+,6635,7,Presinge,113
2,1989,0-19,6637,0,Russin,113
1,1989,65+,6625,0,Hermance,114
1,1998,65+,6639,3,Soral,114
1,2004,65+,6639,1,Soral,115
1,2001,65+,6635,6,Presinge,116
1,2019,65+,6624,2,Gy,116
2,2004,65+,6611,1,Chancy,116
1,2010,65+,6637,2,Russin,119
2,2016,65+,6637,0,Russin,119
2,1995,65+,6611,4,Chancy,120
1,2004,65+,6610,0,Céligny,121
1,2007,65+,6627,0,Laconnex,121
2,1998,0-19,6637,0,Russin,121
2,1992,0-19,6624,0,Gy,122
2,2016,65+,6624,1,Gy,122
1,2013,65+,6637,2,Russin,123
1,1989,65+,6615,4,Collex-Bossy,124
1,1992,0-19,6637,0,Russin,124
1,1995,65+,6625,4,Hermance,125
2,1992,65+,6615,2,Collex-Bossy,125
2,2004,65+,6601,0,Aire-la-Ville,125
2,2004,65+,6627,1,Laconnex,125
1,1992,0-19,6624,0,Gy,126
1,1989,65+,6603,2,Avully,127
1,1995,65+,6603,3,Avully,128
1,2004,65+,6635,2,Presinge,128
1,2007,65+,6611,4,Chancy,129
2,2019,65+,6637,3,Russin,129
1,1998,65+,6604,0,Avusy,130
2,1992,65+,6610,2,Céligny,130
1,1995,65+,6609,1,Cartigny,131
1,2007,65+,6601,3,Aire-la-Ville,131
1,1992,65+,6635,4,Presinge,132
1,2007,65+,6639,4,Soral,133
1,2019,65+,6637,3,Russin,133
2,1989,65+,6606,1,Bellevue,133
2,2001,0-19,6637,0,Russin,134
2,2007,65+,6611,2,Chancy,134
2,1989,65+,6615,0,Collex-Bossy,135
